Email No.,congratulations,screening,intern,position,process,application,network,applying,opportunity,organization,canditates,forward,skills,interests,role,applicant,sorry,different,platform,co-op,experience,job,work,response,interview,result
0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,3,2,0,4,0,0,0,0,0,1,1,0,1,0,1,1,2,1,1,2,1,0,0,1
0,0,0,3,2,0,1,0,1,2,1,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1
0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
0,1,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,12,1
0,0,0,2,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
